dev_addr,time,m_hdr_type,f_cnt,f_port,bandwidth,sf,coding_rate,frequency,rssi,channel_rssi,snr,inter_arrival_time_ms
260C96BF,2022-03-15T20:27:06.636503813Z,CONFIRMED_UP,419,1,125000,7,4/5,903900000,-69,-69,9.75,10076.810461997986
260C96BF,2022-03-15T20:27:16.694821383Z,CONFIRMED_UP,420,1,125000,7,4/5,903900000,-69,-69,9,10058.317570000887
260C96BF,2022-03-15T20:27:26.763472718Z,CONFIRMED_UP,421,1,125000,7,4/5,903900000,-69,-69,10.75,10068.651335000992
260C96BF,2022-03-15T20:27:36.831354711Z,CONFIRMED_UP,422,1,125000,7,4/5,903900000,-69,-69,9.5,10067.881992995739
260C96BF,2022-03-15T20:27:46.898473955Z,CONFIRMED_UP,423,1,125000,7,4/5,903900000,-69,-69,9.25,10067.119244009256
260C96BF,2022-03-15T20:27:56.969644219Z,CONFIRMED_UP,424,1,125000,7,4/5,903900000,-69,-69,10.25,10071.17026399076
260C96BF,2022-03-15T20:28:07.047583614Z,CONFIRMED_UP,425,1,125000,7,4/5,903900000,-67,-67,8.75,10077.939395010471
260C96BF,2022-03-15T20:28:17.105705762Z,CONFIRMED_UP,426,1,125000,7,4/5,903900000,-67,-67,9.5,10058.122147992253
260C96BF,2022-03-15T20:28:27.180631070Z,CONFIRMED_UP,427,1,125000,7,4/5,903900000,-69,-69,9.75,10074.925308004022
260C96BF,2022-03-15T20:28:37.240636790Z,CONFIRMED_UP,428,1,125000,7,4/5,903900000,-67,-67,9.25,10060.00572000444
260C96BF,2022-03-15T20:28:47.315677131Z,CONFIRMED_UP,429,1,125000,7,4/5,903900000,-69,-69,9.5,10075.040340989828
260C96BF,2022-03-15T20:28:57.383451914Z,CONFIRMED_UP,430,1,125000,7,4/5,903900000,-69,-69,9.75,10067.77478300035
260C96BF,2022-03-15T20:29:07.445244691Z,CONFIRMED_UP,431,1,125000,7,4/5,903900000,-67,-67,8.5,10061.792777001858
260C96BF,2022-03-15T20:29:17.516461261Z,CONFIRMED_UP,432,1,125000,7,4/5,903900000,-67,-67,9,10071.21657000482
260C96BF,2022-03-15T20:29:27.589395324Z,CONFIRMED_UP,433,1,125000,7,4/5,903900000,-70,-70,8.75,10072.934063002467
260C96BF,2022-03-16T13:19:05.335317457Z,CONFIRMED_UP,6450,1,125000,7,4/5,903900000,-70,-70,9.25,10059.3006169945
260C96BF,2022-03-16T13:19:15.404655104Z,CONFIRMED_UP,6451,1,125000,7,4/5,903900000,-71,-71,9.5,10069.337646998465
260C96BF,2022-03-16T13:19:25.473712280Z,CONFIRMED_UP,6452,1,125000,7,4/5,903900000,-70,-70,9.75,10069.05717600137
260C96BF,2022-03-16T13:19:35.540675178Z,CONFIRMED_UP,6453,1,125000,7,4/5,903900000,-71,-71,9.75,10066.962898001075
260C96BF,2022-03-16T13:20:15.810981068Z,CONFIRMED_UP,6457,1,125000,7,4/5,903900000,-69,-69,9.25,40270.30589000136
260C96BF,2022-03-16T13:20:25.881077726Z,CONFIRMED_UP,6458,1,125000,7,4/5,903900000,-70,-70,9.5,10070.09665799886
260C96BF,2022-03-16T13:20:35.950298292Z,CONFIRMED_UP,6459,1,125000,7,4/5,903900000,-68,-68,8.75,10069.220566004515
260C96BF,2022-03-16T13:20:46.017064406Z,CONFIRMED_UP,6460,1,125000,7,4/5,903900000,-71,-71,10.25,10066.766113996506
260C96BF,2022-03-16T13:20:56.079796725Z,CONFIRMED_UP,6461,1,125000,7,4/5,903900000,-71,-71,9.5,10062.732318997383
260C96BF,2022-03-16T13:21:06.154184794Z,CONFIRMED_UP,6462,1,125000,7,4/5,903900000,-71,-71,8.75,10074.38806900382
260C96BF,2022-03-16T13:21:16.215833247Z,CONFIRMED_UP,6463,1,125000,7,4/5,903900000,-71,-71,9.75,10061.648452997208
260C96BF,2022-03-16T13:21:26.285953929Z,CONFIRMED_UP,6464,1,125000,7,4/5,903900000,-68,-68,9.5,10070.120682001114
260C96BF,2022-03-16T13:21:36.339642603Z,CONFIRMED_UP,6465,1,125000,7,4/5,903900000,-70,-70,9,10053.688674002886
260C96BF,2022-03-16T13:21:46.414317662Z,CONFIRMED_UP,6466,1,125000,7,4/5,903900000,-70,-70,9.75,10074.675058998168
260C96BF,2022-03-16T13:21:56.480213900Z,CONFIRMED_UP,6467,1,125000,7,4/5,903900000,-69,-69,9.25,10065.8962379992
260C96BF,2022-03-16T13:22:06.547704532Z,CONFIRMED_UP,6468,1,125000,7,4/5,903900000,-70,-70,9.25,10067.490631997585
260C96BF,2022-03-16T13:22:16.624255528Z,CONFIRMED_UP,6469,1,125000,7,4/5,903900000,-69,-69,9.75,10076.550996005535
260C96BF,2022-03-16T13:22:26.678984859Z,CONFIRMED_UP,6470,1,125000,7,4/5,903900000,-70,-70,9,10054.729330994189
260C96BF,2022-03-16T13:22:36.742963766Z,CONFIRMED_UP,6471,1,125000,7,4/5,903900000,-71,-71,8.75,10063.978907003999
260C96BF,2022-03-16T13:22:46.819651606Z,CONFIRMED_UP,6472,1,125000,7,4/5,903900000,-69,-69,9.5,10076.687839999795
260C96BF,2022-03-16T13:22:56.873259406Z,CONFIRMED_UP,6473,1,125000,7,4/5,903900000,-70,-70,9.5,10053.607799999416
260C96BF,2022-03-16T13:23:06.938424897Z,CONFIRMED_UP,6474,1,125000,7,4/5,903900000,-70,-70,9.5,10065.165490999818
260C96BF,2022-03-16T13:23:17.011449329Z,CONFIRMED_UP,6475,1,125000,7,4/5,903900000,-68,-68,9,10073.024432003498
260C96BF,2022-03-16T13:23:27.070299128Z,CONFIRMED_UP,6476,1,125000,7,4/5,903900000,-71,-71,9.25,10058.849798999727
260C96BF,2022-03-16T13:23:37.146102307Z,CONFIRMED_UP,6477,1,125000,7,4/5,903900000,-68,-68,8.75,10075.803178995848
260C96BF,2022-03-16T13:23:47.204444402Z,CONFIRMED_UP,6478,1,125000,7,4/5,903900000,-71,-71,10,10058.342095002532
260C96BF,2022-03-16T13:23:57.277292280Z,CONFIRMED_UP,6479,1,125000,7,4/5,903900000,-70,-70,9.75,10072.84787800163
260C96BF,2022-03-16T13:24:07.352536319Z,CONFIRMED_UP,6480,1,125000,7,4/5,903900000,-71,-71,9.75,10075.24403899908
260C96BF,2022-03-16T13:24:17.386867821Z,CONFIRMED_UP,6481,1,125000,7,4/5,903900000,-70,-70,8.75,10034.331501998007
260C96BF,2022-03-16T13:24:27.442482106Z,CONFIRMED_UP,6482,1,125000,7,4/5,903900000,-69,-69,9.5,10055.614284999669
260C96BF,2022-03-16T13:24:37.510647580Z,CONFIRMED_UP,6483,1,125000,7,4/5,903900000,-70,-70,9,10068.165473997593
260C96BF,2022-03-16T13:24:47.574856896Z,CONFIRMED_UP,6484,1,125000,7,4/5,903900000,-70,-70,9,10064.209316000342
